Username,Komentar,Likes,Waktu
@mr_tete,"tell me you're sponsored without telling me you're sponsored is what this video is making me feel. Giving Apple a win for the category of Apps is utterly insane. The amount of apps available to android may be several times more in android, and any popular app that is in IOS is and will get their respective Android updates. This shouldn't even be a debate, android just has more apps and thus utility when it comes to apps.",0,2025-01-10T18:25:34Z
@SaltyWeenaOfficial,"Ease of use goes to Android for split screen, PiP, and windows",0,2025-01-10T18:13:46Z
@vicioussharks82,The reason there are options for cellphones and I think there are certain to critic but keep adroid as odroid and Ios as its own really. I love my iPhone,0,2025-01-09T07:10:18Z
@vicioussharks82,Personally I don't think apple should be worried about organizing of icons and stuff. That's why they are different. Honestly there is an option group all your apps under one icon.,1,2025-01-09T07:07:11Z
@markmurto,"Apple is a jail that feeds Soma to the prisoners.   ""We'll give you a feature that looks like Android freedom.""   But its still just basic uncustomizeable Apple cafateria slop.",0,2025-01-08T15:15:09Z
@markmurto,"Now it's 2025.   Android now 7 years support.  Only the dum dum who can't figure out how to use a computer, lazy people, use Apple. Samsung DEX alone is a game changer.   Integration with Windows is a game changer because all businesses in the corporate world are in Windows.   Printers are partial to Android, and being able to print on most brands is important, too.  The S Pen is a feature I have to have.   I get so bored with Apple phones.   I know how to use them 100%, and just feel so limited like it's a jail.",0,2025-01-08T15:07:14Z
@saifabdalkader9512,This video didn't age well for updates as now samsung and Google now promises 7 years of support.,0,2025-01-08T14:30:19Z
@toketosumi597,Like MB said android has many facilities which aren’t also that necessary or important to people whereas iOs has just few or less of it which are very very useful to people so thats one of the biggest flex of iOs😊,2,2025-01-08T06:44:48Z
@dannyboyprodontop,Quality over a quantity means Apple takes a 30% cut of all app sales without doing a thing.,0,2025-01-06T00:44:26Z
@dannyboyprodontop,I think this is outdated. Isn't Samsung doing 7 years of upgrades?,0,2025-01-06T00:42:55Z
@tristanftw2,Stupid categories,0,2025-01-05T06:32:24Z
@tristanftw2,Dude forgot the most important thing. Device specs,0,2025-01-05T06:30:32Z
@garyrea2320,"I thought android was just for poor people,  didn’t know they had features like this.",0,2025-01-05T00:59:43Z
@LetsGoGetThem,"On Android you can get LineageOS and revive old phones with latest Android, you can't do that with iPhone. Also I HAD an old iPhone, and I can tell you it was unusable.",1,2025-01-04T17:55:21Z
@Wolfnrun,I am legit “I don’t care as long as it works” I use pixel phone for most things. I have my iPad mini for entertainment. I have a Linux machine (Steam deck) that I use as a P.C with a desktop setup for work and what not. There all good!,0,2025-01-03T22:29:40Z
@alfaguera8275,Android remain the best for me. My bought my samsung in 2016 and the WhatsApp still working until this date 2015 but my son who bought an iphone 6 plus in 2018..the WhatsApp can't be used anymore due to IOS issue. Feel so sorry for him since he love his 6 plus so much.,0,2025-01-03T21:40:44Z
@UltraBirdMode,Been away from android for 2 years now. Enjoy iphone but id love to experience flagship android again,0,2025-01-03T08:25:14Z
@boultonzak,15:39 Please do make a video about that. That would be cool,1,2025-01-03T07:04:39Z
@Respawn_King.3exe,Iphone 15 pro max or samsung s24 plus,0,2025-01-01T23:04:15Z
@r.a.8618,The ability to plug in a micro SD card in Andriod devices is not mentioned. There are countless times I found my Samsung to be annoying but the ability to use a micro SD card remains as the biggest reason why I am sticking to Samsung. I just don't like to be forced to use iCloud for my data.,1,2024-12-30T03:34:50Z
@muhas076,this was a movie.,0,2024-12-29T12:08:25Z
@YashPatel-x9p,"When it comes to choosing between an iPhone and an Android phone, the decision often boils down to what you prioritize as a user. Here’s a breakdown for each platform:

Why Choose an iPhone?
	1.	Global Warranty: Apple is one of the few brands offering a worldwide warranty. If you’re a frequent traveler or someone who values reliable after-sales support globally, the iPhone is a clear winner.
	2.	Balanced Experience: While iPhones may not dominate in any single area, they offer solid performance across the board—design, camera, software, and more. Critics might argue about camera quality, but trust me, photos taken on an iPhone never feel “cheap” or subpar.
	3.	Ease of Use: Apple’s iOS is designed with simplicity in mind. Whether you’re a tech novice or an experienced user, the seamless and intuitive interface makes it incredibly user-friendly.
	4.	App Optimization: Developers often prioritize iOS, resulting in apps that are more polished and perform better on iPhones.
	5.	Longevity: With years of regular software updates, iPhones maintain their relevance and performance longer than most Android devices.
	6.	Resale Value: iPhones consistently hold their value better than Android phones, making them a smarter financial choice if you plan to upgrade later.

Why Choose Android?
	1.	Best-in-Class Features: If you’re looking for specific standout features like the best smartphone camera, high zoom capabilities, or cutting-edge low-light performance Android phones like the Pixel or Galaxy S series are the way to go.
	2.	Customization: Android is perfect for users who enjoy tweaking their device to suit their personal preferences. From themes to widgets and custom default apps, Android offers unmatched flexibility.
	3.	Wide Range of Options: Android’s ecosystem includes devices at every price point, from budget-friendly phones to ultra-premium flagships, ensuring there’s something for everyone.
	4.	Hardware Innovation: From foldable phones to high-refresh-rate screens, massive batteries, and blazing-fast charging, Android brands are constantly pushing the boundaries of what a smartphone can do.
	5.	Expandable Storage: Many Android devices still offer expandable storage via microSD cards, a feature that Apple has never included.
	6.	Diverse Form Factors: Whether you want a rugged phone, a gaming phone, or the latest in futuristic design, Android has a device tailored to your needs.

Final Verdict
If you want a phone that “just works,” delivers consistency, long-term software support, and better resale value, the iPhone is your best bet. On the other hand, if you value innovation, customization, or specialized features, Android offers a level of versatility that iPhones simply can’t match. At the end of the day, it’s all about what you need and what you value most in a smartphone.",1,2024-12-28T02:27:54Z
@ronaverse7,What About Now With iOS 18 And iPhone 16? You Need to make a updated video,3,2024-12-27T20:47:51Z
@mortlow6688,The Iphone looks so much better....,2,2024-12-27T17:01:23Z
@MichaeLydian-1,"To all the people saying iphone is better because it doesn't let you get viruses, that's not a good thing. It's not your phones responsibility to stop you from being stupid. You're not a child, and your phone shouldn't treat you like one. Your phone should respect your decisions, and if you get malware, that's your fault.",3,2024-12-27T13:43:05Z
@dennisgibbs5708,I’m trying to get an answer to this question:  does or can iPhones or iPads work with electronic chess boards:  like Chessnut  or chess Android boards.  This question is just not answered any where that I’ve found!  Please help! Thank you!,0,2024-12-27T04:00:46Z
@smasher981,iOS is better if you want simplicity and luxury experience. Android is better if you want the most features and total freedom,3,2024-12-27T01:04:01Z
@jpg334,I have used iPhones and Samsung Galaxy phones off and on for years I have an iPhone 16 Pro Max now and I'm thinking about getting a Google Pixel next time I get a new phone but my father keeps telling me it would be a bad idea to get an Android phone,0,2024-12-26T01:49:48Z
@eduardotacanga,"Yo fui Android, pero me pasé al  iPhone y me gusta mucho, seguiré con mi  iPhone.",1,2024-12-25T22:24:52Z
@rottengalaxy,Samsung promises seven years of updates not four,0,2024-12-24T23:12:22Z
@petersaarloos1901,He did not adress repairebility,0,2024-12-24T09:05:21Z
@lebwrongjain13,Bars!!!!!! 1:00,1,2024-12-24T09:00:58Z
@flinze2001,"I don't see iphone is winning in 2025, Android is almost over taking iphone big time!!!",1,2024-12-21T18:23:21Z
@chidiebere6131,"Ease of use can not be iPhone.
I can't even swipe to go back on iPhone in 2024.",0,2024-12-20T23:37:22Z
@madatu,I will never buy an apple product. I don't approve of their business model.,8,2024-12-20T16:22:27Z
@gotsm9959,iPhone is better but most of it goes to waste since most people who buy an iPhone don't know the difference.,0,2024-12-19T20:40:13Z
@PonderingAction,watching it in 2024 alotta shi changed,0,2024-12-19T19:33:58Z
@LikkisGhana,You should have talked about hardware.,0,2024-12-19T00:23:17Z
@LikkisGhana,Android is copying iOS. For people to say that Apple doesn’t have ideas for them to copy them is ridiculous,0,2024-12-19T00:08:13Z
@michaelhahn9239,Erase of use needs to go to Android! When someone hands me an IPhone I can't even figure out how to switch between pages or get back to the home page. IPhone sucks!,0,2024-12-18T04:03:06Z
@leonperetz8061,So you use Android far more than your iphone but you analysis says iphone wins.😂😂😂,0,2024-12-17T10:51:05Z
@1neromusiq65,"Moral of the story, get the best of both worlds, get em both!",0,2024-12-17T07:17:00Z
@valberlin9239,"This felt like a soccer match. Android started strong, and then Apple caught up in extra time. Story of my damn life as a soccer player. 😂",0,2024-12-17T02:48:00Z
@0kenmei,I don't like google peeking into my life every second. Android is for people he doesn't give shift about Privacy.,0,2024-12-16T17:58:26Z
@cosmosokpighe4962,"I'm new to the Iphone eco system and I can tell you this, it's a pain in the ass. I can NEVER use or have an Iphone as my only phone. I'd run mad. Iphone will always be my 2nd driver. Having it for having sake. Android is waaay more better than Iphone. Iphone, you can't even change your font style😢😢😢😢. I feel iphone lovers are sick people.",0,2024-12-15T21:23:39Z
@nethero676,"Yes, ease of use is definitly ios but I kinda like how I can customize 99% of my android phone even though its not simple and shi",0,2024-12-15T10:30:50Z
@MMMlewis5592-q1b,You didn't mention prices. Apple seems to always be more expensive which is one of the reasons I don't like any apple products at all. I don't like their display never have. I always had to use apple computers in school and I hated them. I've never had an iPhone and don't want one. Android seems to have more features and different types of phones.  I think either one is fine based on who you are and what you feel comfortable with. Maybe one day I'll try iPhone but probably not because of the price and you have to buy everything apple which is another reason I don't have one. But yeah anyone can have whatever they like makes no difference to me what other people do.,1,2024-12-15T03:32:29Z
@SaiduBangura-n6h,My bro you too good in your work...I wish you give me smartphone one day bro,0,2024-12-15T00:37:33Z
@leo_x419,My prediction: apple wins,0,2024-12-14T06:44:01Z
@cbdyna,May try an iPhone next time since there's no need for me to have anything but a basic phone.,0,2024-12-14T05:49:57Z
@godfreyaimiuwu6157,fake lie it's not existing where can I buy that new tesla pi phone of  $ 100?,0,2024-12-12T08:44:52Z
@Proleex89,"This guy basicly does the same exact video with the same exact outcome in over a decade.
How can anyone take him seriously.",0,2024-12-11T10:28:01Z
@vannonchiang666,iPhone OS still cannot separate RINGTONE vs NOTIFICATIONS vs MEDIA... etc...  why? It's such a simple yet useful setting available in Andriod for a long time now.,1,2024-12-10T18:04:25Z
@dario_hgo8383,"For me, both OS are essential. ✌️",0,2024-12-08T14:26:02Z
@paranormaladventureaustral1100,Your being sponsored by both period,0,2024-12-08T04:41:45Z
@paranormaladventureaustral1100,You said iPhone well it's to expensive,0,2024-12-08T04:41:15Z
@piratesmvp,"One caveat about updates is that many Android phones have the ability to install custom ROMs. So, while the original Pixel released in 2016 will not get Android 14 from Google, you can get it via LineageOS. This kind of thing is not possible on unsupported iPhones.",0,2024-12-06T19:57:28Z
@SudarshanGalve,Please make a new video with the updated features,0,2024-12-06T10:16:39Z
@charanaudugama5840,"Apple gets
>Updates/Support
>Excitement (a simple button on iPhone 16 was talked about more on the internet than the 1001 features that Android was offering for the last decade)
>Ecosystem (need more Apple products to get this but okay)

Android gets
>Custmization
>Features
>Ease of use (try using both and see for yourself)
>Apps (Sideload whatever the f you want 🤷🏼‍♂)

Overall Android gets the win IMO. 

Most of the things he said are what content creators care about. Over the years, most of the changes Apple made were catering to content creators, so when reviews are made it would be on a positive note. One of the examples is bringing back the SD card slot to Macbook Pros. I mean how many of you use it? How many of you asked for it? USB A and maybe HDMI were what we wanted. 

Compare the comments and the message from the video. There is not much agreement, is there?",0,2024-12-05T20:34:43Z
@sdaiwepm,You barely mentioned the main reason many of us choose iOS: security.,1,2024-12-04T21:27:10Z
@KernBoris48,Android does have the most sexiest phone iPhones are very ugly,0,2024-12-03T16:43:21Z
@KernBoris48,Android you could do more with your phone there is no limit and it's more fun iPhone you could do less on it and it's boring,1,2024-12-03T16:42:31Z
@willmorris8334,"My main issue with iOS is adblocking. On android, you can install Firefox to use ablock extensions for web browsing and install modded YouTube apps for blocking ads. You can't really do that on IOS.


My main issue with Android is that it comes installed on a lot of pieces of crap hardware. It makes android look bad. Android is amazing with powerful hardware.",0,2024-12-03T06:16:04Z
@Cruskxp,"My category is Battery, Camera, transfer photo and videos, and Storage.",0,2024-12-03T02:30:33Z
@savvvy_escooters,The s24 ultra has 7years of updates,0,2024-12-02T19:23:18Z
@budmonk2819,I love the ending - everyone is a winner when the competition fight for us.,0,2024-12-02T02:20:02Z
@Stregic,In Spain there is only apple stores in Gibraltar .So I think it’s different for each country,0,2024-12-01T22:20:59Z
@gabrielbernate8852,"Excellent, bye",0,2024-12-01T19:52:05Z
@Spuzzmacher,The real winner is an ipad mini.  T Mobile cellular account cost 5 dollars for 6 months & skype cost $3 a month.  + bigass display + Apple pencil.  Beat that iphone/android.,0,2024-12-01T05:24:08Z
@bonespiel,I've been using iPhone for over 2 years and have never used FaceTime,0,2024-11-30T14:01:14Z
@bonespiel,This video is dated.....is it time for a update?,1,2024-11-30T13:58:31Z
@ColtSievers1000,Xiaomi has more accessories than apple and apply only work well with apple products,0,2024-11-29T02:56:56Z
@ColtSievers1000,Up android 💪💪💪💪,0,2024-11-29T02:47:16Z
@AllenGarcia-wc3qu,The i agree with him completely but the fact that samsung has appliances in their ecosystem is amazing. I do think apple is better in the mobile world but after than not so much,0,2024-11-28T15:58:13Z
@ronmac1832,"Once you’re in the Apple ecosystem, it’s irritating to deal with Android users who don’t have airdrop, FaceTime, find me etc. But I loved my Androids.",0,2024-11-28T13:54:34Z
@SreyashRaj,why not talk about security ?,0,2024-11-28T13:39:15Z
@DR.Smekkebek,The ultimate android feature is a universal back button,71,2024-11-27T20:27:38Z
@killamaita,Oh yeah and there is PRICE!!!,0,2024-11-26T10:05:10Z
@killamaita,How come the apple users always ask help from android users?,1,2024-11-26T10:03:45Z
@PhilTimsky-s4r,Android,1,2024-11-25T14:47:39Z
@ralfsbemberis56,"nice waste of 18,26 minutes",1,2024-11-24T17:58:08Z
@lewislomax-m4x,i have one apple product and one android product though i prefer apple,1,2024-11-24T13:04:15Z
@Rimuru562,"On the phone perspective, the only thing that I can't agree for ease of use is that you need to go to settings every time for customization or adjustments for IOS",0,2024-11-19T15:33:49Z
@quinigb656,"Ultimamente estoy viendo a gente llevar dos dispositivos, como en tu caso , como lo haceis ? uno para las llamadas y otro simplemente con datos ? No lo entiendo , no le veo la logica o llevas android o ios pero ambos....",0,2024-11-19T12:59:54Z
@williamnewsome5169,"LOL!  No regard for security, photo/video, screen, prestige factor, battery and overall quality.  Categories are as subjective as the users themselves until  real and objective elements are examined and compared.",2,2024-11-19T00:51:52Z
@mattmacknight3000,"MKBHD be like: ""so every category is customization... android wins"" hahah.",1,2024-11-18T02:38:33Z
@TimothyCobain,"For updates/support, all iPhones have access to the latest iOS at the same time. I used to have Android and maybe it’s not the case anymore. But updates would roll out in batches back when I had Android (flagships got the earliest access).",1,2024-11-17T23:17:41Z
@RahulMPrathap,We have to be smart to use a smart phone,0,2024-11-17T15:00:06Z
@shekinahglory604,14:46 anticipationnn,0,2024-11-17T04:24:53Z
@shekinahglory604,As apple user prediction android will win,0,2024-11-17T04:09:11Z
@emilfrederiksen.1622,Samsung and Apple are clearly the best phones i had a Huawei phone and it sucked.,0,2024-11-16T11:43:45Z
@SukhSingh-d2b,What iphone easy of use 😳😳,0,2024-11-16T01:27:24Z
@MegaBlox_YT,Yes iPhone wins!!!!!!!! GG android good luck next year!,0,2024-11-15T23:58:13Z
@MegaBlox_YT,For customisation apple added most things your said lol 🤣,0,2024-11-15T23:44:45Z
@ayumiwaru,What,0,2024-11-15T22:32:01Z
@cowboys68,It’s a question of each individual’s personal needs and taste.,0,2024-11-15T19:15:19Z
@cowboys68,"I have it 1a and 1b, The nod going to android for absolute customization. It’s the difference of a Ferrari vs a cherry Mustang, the Ferrari is light, sleek, fast and the mustang is a little heavier, not as fast but has raw power and torque. But cannot say no to either. I use both from time to time.Happy with both.",0,2024-11-15T19:13:59Z
@YusufZetro,this isnt objective but relative,1,2024-11-15T02:44:05Z
@Blake-le9vy,Awesome,0,2024-11-13T01:25:50Z
@brettalvarado9338,I’m a total apple sheep haha,1,2024-11-12T14:27:14Z
@SteadyPaceVince,"I like that you say ""in 4 out of the categories that I made up"" but sadly not everyone will notice to this",0,2024-11-11T04:25:27Z
@bryanducusin4825,"My iphone 6s is still good till this day and just replaced the battery once and it never lags, but my s23ultra after 1year and 7months it lags so much and i hate it.",0,2024-11-09T22:43:58Z
@Viscord,"nah found out the reason why people hyping this iphone, is that people don't care much about phone itself then the reason they argue its better its because its the only knowledge they know and they grow with it, basically they are on comfort zone so they dont know android, well iphone people mostly are like that i respect their decision since most of them are US people or other places that focus more on iphone but bruh if you ever live in a place where iphone and android is neither is popular or both are popular, its way toooo ignorant not to side with android thats how big the difference are but if you ever experience having both phones and you still stick to iphone then you personally love iphone that much and i also respect that decision so i won't debate these people, 

ANYWAYS

 my best example to compare this is something out of iphone or android stuff,

if iphone is a person lets call him ""A"" then the user is you itself, your relationship with A is like stick to acquaintance

while if android is a person lets call him ""B"" then you the user, your relationship with B can go even further than acquaintance, you can go friends, bestfriends, lovers, family or etc...

LOOK my point to this is if you choose person B you can get to know more and learn how many personality person B have and because of that your relationship with him can go further,
 SKY'S THE LIMIT!!!!!!


if you guys reach reading this part and still confused or skip reading my long ass comment, i can give 1 word why you should choose android and that is ""VERSATILITY""",0,2024-11-09T18:25:03Z
@hermanstokbrood,"Although this is only 1 year ago uploaded, choosing for the best updates isn't an issue anymore. 7 years seems to be the default for flagships Android phones. Even my Oneplus Nord 4, costing €425 gets 6 years of updates. Ease of use is very personal. I like Android way better to use.",0,2024-11-09T13:01:27Z
@MaDwsalot,I wonder if apple took note almost all of this has been improved in ios 18,0,2024-11-09T01:50:06Z
@terrynicholls1991,I prefer apple but I choose android due to I dislike apple for its selfish greedy nature,0,2024-11-09T00:03:54Z
@glyphion,How do you pick which android phone to use?,0,2024-11-07T06:52:53Z
@johnnychua6738,"One important issue is overall cost (accessories, apps & phone), Android clear winner.",0,2024-11-06T17:15:57Z
@siuu5359,Let just have common ground here android is compatible to everything while apple needs apple how selfish and business oriented dont you think,0,2024-11-06T08:10:39Z
@princesepena,Iphone is just useless overall and i disagree with on apps. I can't even link a simple whatsapp on the laptop whatsapp app.,0,2024-11-06T05:34:43Z
@alifishies,I'll still keep on calling apple users simple even though I don't really care if I have an iPhone or android,0,2024-11-06T00:42:06Z
@georgeg7259,Does android have something like facetime for encrypted video or voice calls? i use my iphone wihout cell service. can i do that on adroid?,0,2024-11-05T21:39:16Z
@raymondIT,You forgot that when Apple pushes out a new iOS older phones may still get it but they don't get the new features of the iOS.  iOS is bundled the security in the update but on Android  they push the updates when needed,0,2024-11-05T18:55:29Z
@juziotrompka,"The real winner, and at the end no winner. Good thing I skipped to the last minute.",0,2024-11-04T15:47:18Z
@Duck-jc9ox,"As someone who enjoys modifying stuff, this rings true for me. 
It goes doubly so for PCs, where half the software i use and modify isnt even available on mac.
I can put up with the eccentricities and risks that come with this because using a more controlled device was so frustrating and left me wondering why i paid for a device that seemed to be so closely controlled by someone else.
But i know not everybody wants what i wanr",0,2024-11-04T11:56:18Z
@TheGalavan,"Helpful, thank you!",1,2024-11-03T16:38:06Z
@Phoenix.Douglas,"As an engineer let me tell you this, 
- To build native apps, you need macOS device in order to develop for Iphone or any apple product.
- Apple Developer Fee is more expensive than Google's Android fee..
- Apple is more strict on reviewing and approving apps.
- Apple's Development platform provides already built in buttons and stuff which makes things more standardized for developers...
- Nowadays new programing languages and frameworks (Like Dart / Flutter)releases apps for both but in in summary, that's what make apple better.",1,2024-11-03T00:39:56Z
@gag6475,"I don't really agree on the app section, I think android is better just because you can download .apk files",1,2024-11-01T20:00:48Z
@KingsleyMabasaa,I had Focus Modes on Samsung A32,1,2024-11-01T15:11:53Z
@MishaAamir-hh1fy,Both are good,0,2024-10-31T23:04:47Z
@pino_7428,The winner is the one that fits my needs and the one I like. iPhone in my case.,1,2024-10-31T16:02:24Z
@almighte-t2e,"After a lot of research as an Android fan boy, I have decided to switch to iPhone as my main device mainly for the faster security updates. For experiencing cutting edge Android features, I will continue using my current POCO F4.",0,2024-10-31T16:00:45Z
@khanage32,"I haven’t had an android since I had a Samsung s7, but the only thing that made it better than an apple was the ability to get apk downloads. It made mobile gaming fun but sort of.worthless.",0,2024-10-29T15:56:38Z
@farhanmonsur-qs6ff,What about privacy / security,0,2024-10-29T08:27:37Z
@entity9957,"The real winners r consumer of android, android itself(google) and the apple company.",0,2024-10-29T08:19:56Z
@shivajikumar6350,As usual great video. At the end my weightage for different aspects of the two worlds are same as Marques. I also carry S ultra and a pro max. And no I am just a regular schmuck and not a tech celebrity like Marques😅,0,2024-10-28T23:50:46Z
@paelkhara,Hi...I have a website on mobile.... Can I insert your video link into my content?.....I need your permission.,0,2024-10-28T18:57:54Z
@dogeatron6150,shoulda brought up emulation,0,2024-10-28T11:49:49Z
@nishantjaikari2484,"U gave points to IOS for Apps and easy of use .😅
What a joke.
My frnd replaced IOS tablet just because he can't use an doctors app on his apple..😅
And i tried to nevagate on my brother's i phone but it was very hard for me as a simple person.",0,2024-10-28T11:00:07Z
@atomant2681,Great video. Android is the one for me,0,2024-10-28T02:47:37Z
@littleice9731,Android is came long ways since back then iOS used to be the best but it’s equal now,0,2024-10-27T19:02:46Z
@AnsonEnderBorn,"I use an iPhone purely for the ""ease of use"" meanwhile for everything else I avoid apple like it's the plague. I especially hate macs, cuz macOS sucks.

But anyways the end result for me was IOS: 17 points, Android: 9 points.
Currently using an iPhone X my ideal phone would be a Huawei flagship if only the phone wasn't such a pain in the ass to actually use in the US...",0,2024-10-26T06:30:43Z
@estudioburguener,Excelente tu video.... el mas objetivo que vi... actualmente usuario cautivo de Iphone.... pensando en volver a Androide... que LA CAMISA SE ADAPTE A LA PERSONA  Y NO A LA INVERSA..... Saludos Pablo de Argentina (SUSCRIPTO),0,2024-10-25T16:57:48Z
@sim.one.4413,usually i watch these videos because marques is always so objective but this time i think iphone got points that belonged to android . not saying that iphone is in any way unequal to android but for sure in the categories mentioned android beats iphone 100 percent. To each his own and what works for them but android is a pure iphone killer in every way,0,2024-10-25T15:04:24Z
@jjasonsingleton,I dis agree with support. Support is when I have a problem is moving files and someone helps me complete the task. BTW iPhine pic files to pc and back to iphone does not work. Updates are just more computer bullshyt to cover thier azz for fd up software. Apple is the loser! FIle management is a ZERO!!!,0,2024-10-25T01:50:51Z
@ActuallyEvil,"Nah, apps on android are exceptionally more robust.

I can give the edge to Apple in terms of getting updates on major apps but Android is exceptional because of all the niche apps 

Not to mention most apps are free on android and you can even easily remove ads with a click of a button (also free).

I have several niche apps that help me throughout my day to day life.
Remembering birthdays.
Cateogrizing music
Researching things 
Quick edits to videos, etc

Apple doesn't provide goot solutions to any of these things. They are all bad or behind paywalls. I basically had to give up a lot of my favorite features when i tried apple again last year. It's a ridiculous user experience 

Its certainly quantity vs quality but Android has both.

Dont even get me started on apps from sites like Aptoide, etc. It's not even close",1,2024-10-25T01:40:58Z
@DAN-lk1oj,iPhone still the best mobile ever ❤,0,2024-10-24T17:15:09Z
@michaelbryant4703,I feel like a Dictator in an oppressed country just stole his 5th term,0,2024-10-22T17:20:31Z
@bahadorghanbari3707,How did ios won the last category? U can't put every limitation in the world in your devices and call it eco system i just bought a 1000$ ipad im happy with my purchase but i can't connect it to my 100$ Huawei headsets i have to buy airshits and you know they doing this on purpose. This company is not goood in any way other than ease of use. They are always behind in tech from every Chinese company they have double the price. Triple the limitations. And they rob their customers. This is not a debate u either have a brain and buy android or you don't 😅,0,2024-10-22T08:32:15Z
@kbar11,"First smart phone was an iPhone 4. Went blackberry next. Swapped back to iPhone 5s. Went to android for pixel 2, one plus 7 pro and pixel 7 pro. Now back to apple with iPhone 16 pro. All were good, I’d go back to android if in 3 plus years something entices me.",0,2024-10-21T22:46:51Z
@amsnet143,IPHONE 💪💪💪💪,0,2024-10-21T18:29:11Z
@xavier8011,"2:13 everything what marques is saying that iOS is missing, apple just put it in iOS 18. I think apple watched this video ahahah",4,2024-10-21T15:55:43Z
@madihasufian8183,andrioid is the winner,0,2024-10-21T11:02:18Z
@ItsJustEliHere,"6 minutes in I’ve had 4 ad breaks. 
wtf marckass?",0,2024-10-20T21:58:02Z
@Kushmanpelaa,"Apps to iphone? xD cmon, there atleast twice as more apps, and every major app comes with updates at same time",0,2024-10-20T06:53:14Z
@Kushmanpelaa,"most amazing thing is that apple comes so much behind, all those things that apple have came in like 2 years has been on android like decdade",0,2024-10-20T06:48:58Z
@danyeltv5365,Pensé que ganaría android,0,2024-10-20T06:30:09Z
@FilmRanks,If you have other Apple products it doesn’t make sense to have android unless you have the money to do that.,1,2024-10-19T15:58:27Z
@dominik8371,GrapheneOS team ------------),1,2024-10-19T13:03:28Z
@DefinitelyNattox,I like both Apple and Android.,0,2024-10-19T00:23:39Z
@nerdly44,Imagine my shock when he didn't set his foot down in either camp.,0,2024-10-18T18:49:08Z
@jaguarnegro1972,Excelente video me gusto tu sistema,0,2024-10-18T18:06:55Z
@TheRealJinking,un ironically i care about the brand ecosystem annnd i give the win to Google :D,0,2024-10-18T14:57:38Z
@volcanoEwewddf,17:23 thats literally almost the exact same as my ranking and the exact same as my ratings like what,1,2024-10-18T12:18:28Z
@Ale_934,I'll probably get an iPhone when I have enough money to buy a Mac too.,0,2024-10-17T16:28:34Z
@cameramaneverdies-e7d,"Harmony OS beats them all, I wonder when android and Ios will have all those Harmony cool and rich innovative features",0,2024-10-16T11:14:04Z
@JolYik,"Let me guess, apple but you use and love more your android. lmao",1,2024-10-16T03:33:53Z
@misterdutch2853,"I want the latest innovations, so you know what I choose.",0,2024-10-16T01:25:44Z
@conartistic,Great video!,0,2024-10-15T15:49:32Z
@herman_13,It feels like a stupid comparison because it looks like everyone is ganging up on a single person. LOL,0,2024-10-15T14:12:36Z
@Carlaopro,Only real bad part of iphone is not having a back button or gesture honestly,0,2024-10-13T14:39:46Z
@ary6039,"How apple has been fooling  and fooled all of you all these years. Keep purchasing your status lifetime, slaves of apple😂",0,2024-10-13T12:01:33Z
@akhilmittalji6816,"Macbook is the only apple product I use. I use google sheets, gmail, google storage, ms word, one note,  dropbox, a couple of other tools. And more than happy with my Android as all work seamlessly on both.",0,2024-10-13T05:59:08Z
@nuno_costa,"That score system is excellent! But it didn't help me :D I got 11 in android and 12 on iPhone, but the most relevant categories for me are cleary android (customization and features) :'( I've been an Android user for years and I'm thinking about switching to iPhone since the 15th. It's so hard to decide!!!!",0,2024-10-11T23:12:14Z
@AndyImana-Beene,android for the win,1,2024-10-11T22:21:46Z
@kratz57x,"I've been a freak for quite some time ('Droid fone and MacBook).  I left ""PC"" because I was tire of Windows ""no longer supporting"" meaning I get to buy a new computer.  Then there was the sticker price which included only a trial version of [fill in the blank].  My 'Droid just reached the ""no longer supporting updates"" point, I think I'm bout to surrender to the dark (iphone) side.  THANKS for your analysis.",0,2024-10-10T14:06:41Z
@MitchConnor-o6h,APPLE IS GARBAGE,0,2024-10-10T02:35:43Z
@MichaelJ-zx5gw,Samsung all day everyday android ❤,0,2024-10-09T20:01:09Z
@coltoncj1,I guess the ease of use is what makes me an apple fanboy. I love that I can just pick it up and start using it without worrying about customization. I genuinely don’t care at all about customization. I just want it to work,0,2024-10-09T20:00:11Z
@thilaksenarath3950,"Bro compared iOS vs android only with phones

Pls compare with other devices",2,2024-10-09T17:26:04Z
@higormeisterlol,"Lol, as a Brazilian, i've seen dozens of friends having an iPhone and not a single one, ever, using imessage or facetime...",0,2024-10-09T14:36:54Z
@georgestrus9333,"I tried switching from android to iphone (after family and friends said try it) and got a quick crash course in don't mess with the apples system (apps) pre-installed on the phone..... Installed Google as my search engine, Google maps and Google photos and deleted safari, photos, maps and a few other things, like translate, stocks, notes etc. To my surprise the phone stopped working. Surprise, surprise safari is part of the ios operating system. Weird system that the search engine is the operating system. Promptly went back to android.",4,2024-10-08T11:27:00Z
@MrFunnyBones_,Intro songs please??,0,2024-10-08T05:34:58Z
@awdtalon57,I have one of those crappy samung diswashers,0,2024-10-07T20:14:01Z
@matt_9112,Better/longer update cycles for at least the S- and A5x- (and above) series really would be a neat thing and vanish any last doubt in my mind.,0,2024-10-07T18:15:25Z
@OMTS,software updates clearly going to android. you can put an android 14 rom on an ancient pixel one from 2016. when doing it right everything runs including banking apps. also this is outdated with pixel and google giving 7 years on flagships,0,2024-10-07T15:28:23Z
